DATE,PRCP,TAVG,TMAX,TMIN
2023-01-01,0.16,15.555555555555555,17.22222222222222,14.444444444444445
2023-01-02,0.0,16.666666666666668,18.333333333333332,14.444444444444445
2023-01-03,0.0,15.555555555555555,18.333333333333332,15.0
2023-01-04,0.0,17.22222222222222,18.333333333333332,15.0
2023-01-05,0.0,17.77777777777778,19.444444444444443,15.555555555555555
2023-01-06,0.0,19.444444444444443,22.22222222222222,16.11111111111111
2023-01-07,0.0,19.444444444444443,22.22222222222222,17.22222222222222
2023-01-08,0.16,16.666666666666668,21.666666666666668,16.11111111111111
2023-01-09,0.14,17.77777777777778,18.333333333333332,16.11111111111111
2023-01-10,0.2,18.333333333333332,19.444444444444443,16.666666666666668
2023-01-11,0.01,21.11111111111111,21.666666666666668,17.77777777777778
2023-01-12,0.07,21.666666666666668,25.555555555555557,20.0
2023-01-13,0.0,22.22222222222222,26.666666666666668,19.444444444444443
2023-01-14,0.0,22.77777777777778,28.333333333333332,19.444444444444443
2023-01-15,0.01,17.77777777777778,28.333333333333332,11.11111111111111
2023-01-16,0.11,12.222222222222221,23.88888888888889,10.0
2023-01-17,0.13,11.666666666666666,13.88888888888889,10.0
2023-01-18,0.02,13.333333333333334,14.444444444444445,10.555555555555555
2023-01-19,0.0,15.555555555555555,18.333333333333332,11.666666666666666
2023-01-20,0.0,18.333333333333332,20.555555555555557,13.333333333333334
2023-01-21,0.0,19.444444444444443,21.666666666666668,15.555555555555555
2023-01-22,0.0,20.0,21.666666666666668,17.22222222222222
2023-01-23,0.0,20.0,24.444444444444443,15.555555555555555
2023-01-24,0.15,14.444444444444445,24.444444444444443,13.333333333333334
2023-01-25,0.0,15.555555555555555,16.666666666666668,13.333333333333334
2023-01-26,0.02,17.22222222222222,18.333333333333332,13.88888888888889
2023-01-27,0.02,14.444444444444445,18.333333333333332,12.777777777777779
2023-01-28,0.0,12.777777777777779,16.11111111111111,9.444444444444445
2023-01-29,0.0,13.333333333333334,17.22222222222222,9.444444444444445
2023-01-30,0.0,15.0,18.88888888888889,9.444444444444445
2023-01-31,0.0,18.333333333333332,21.11111111111111,10.555555555555555
2023-02-01,0.0,22.22222222222222,27.22222222222222,14.444444444444445
2023-02-02,0.0,21.666666666666668,27.22222222222222,18.333333333333332
2023-02-03,0.09,20.0,25.0,19.444444444444443
2023-02-04,0.14,22.22222222222222,24.444444444444443,19.444444444444443
2023-02-05,0.0,22.77777777777778,26.11111111111111,20.0
2023-02-06,0.0,23.333333333333332,26.11111111111111,21.11111111111111
2023-02-07,0.0,24.444444444444443,29.444444444444443,21.666666666666668
2023-02-08,0.0,24.444444444444443,29.444444444444443,22.22222222222222
2023-02-09,0.0,23.88888888888889,27.77777777777778,22.22222222222222
2023-02-10,0.0,25.0,29.444444444444443,22.22222222222222
2023-02-11,0.0,25.555555555555557,30.0,22.22222222222222
2023-02-12,0.0,26.666666666666668,33.333333333333336,22.77777777777778
2023-02-13,0.0,25.0,33.333333333333336,21.666666666666668
2023-02-14,0.04,17.22222222222222,31.666666666666668,16.11111111111111
2023-02-15,0.0,17.22222222222222,18.88888888888889,16.11111111111111
2023-02-16,0.0,18.333333333333332,20.555555555555557,16.11111111111111
2023-02-17,0.03,18.333333333333332,21.666666666666668,17.22222222222222
2023-02-18,0.0,21.11111111111111,25.0,17.22222222222222
2023-02-19,0.02,21.11111111111111,25.555555555555557,18.88888888888889
2023-02-20,0.0,20.0,25.555555555555557,18.333333333333332
2023-02-21,0.0,20.0,23.333333333333332,18.333333333333332
2023-02-22,0.0,19.444444444444443,23.333333333333332,16.666666666666668
2023-02-23,0.0,20.555555555555557,25.0,16.666666666666668
2023-02-24,0.0,20.555555555555557,25.0,16.11111111111111
2023-02-25,0.0,17.77777777777778,25.0,15.555555555555555
2023-02-26,0.0,17.22222222222222,19.444444444444443,16.11111111111111
2023-02-27,0.03,18.333333333333332,20.0,16.11111111111111
2023-02-28,0.0,20.555555555555557,25.0,16.666666666666668
2023-03-01,0.0,20.555555555555557,25.555555555555557,16.666666666666668
2023-03-02,0.0,20.555555555555557,25.555555555555557,15.555555555555555
2023-03-03,0.0,19.444444444444443,23.88888888888889,18.333333333333332
2023-03-04,0.0,20.0,23.88888888888889,16.666666666666668
2023-03-05,0.0,20.0,24.444444444444443,16.666666666666668
2023-03-06,0.0,21.11111111111111,25.0,16.11111111111111
2023-03-07,0.0,21.666666666666668,26.11111111111111,18.333333333333332
2023-03-08,0.0,22.22222222222222,26.11111111111111,18.333333333333332
2023-03-09,0.0,22.22222222222222,27.22222222222222,18.333333333333332
2023-03-10,0.0,22.77777777777778,28.333333333333332,18.88888888888889
2023-03-11,0.0,23.333333333333332,28.333333333333332,20.0
2023-03-12,0.0,23.333333333333332,27.22222222222222,21.11111111111111
2023-03-13,0.0,20.555555555555557,27.22222222222222,20.0
2023-03-14,0.0,23.333333333333332,27.22222222222222,20.0
2023-03-15,0.0,23.333333333333332,27.77777777777778,20.555555555555557
2023-03-16,0.0,23.333333333333332,27.77777777777778,20.555555555555557
2023-03-17,0.0,23.333333333333332,27.22222222222222,20.555555555555557
2023-03-18,0.0,22.22222222222222,26.666666666666668,21.11111111111111
2023-03-19,0.0,24.444444444444443,30.0,21.11111111111111
2023-03-20,0.0,25.555555555555557,31.11111111111111,21.11111111111111
2023-03-21,0.0,27.22222222222222,32.22222222222222,21.666666666666668
2023-03-22,0.0,28.88888888888889,37.22222222222222,22.77777777777778
2023-03-23,0.04,28.88888888888889,37.22222222222222,23.88888888888889
